System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,2095.000000,56882646.000000, , , ,-0.650391,-2.276367,0.000000
2.000000,2100.000000,56882646.000000,0.002900,0.043500,-0.916400, , , 
3.000000,2196.000000,56882646.000000, , , ,0.000000,-2.601563,0.000000
4.000000,2199.000000,56882646.000000,-0.002900,0.023200,-0.922200, , , 
5.000000,2297.000000,56882646.000000, , , ,0.975586,-2.601563,0.000000
6.000000,2300.000000,56882646.000000,0.014500,0.049300,-0.872900, , , 
7.000000,2398.000000,56882646.000000, , , ,2.926758,-3.902344,0.000000
8.000000,2399.000000,56882646.000000,0.000000,0.040600,-0.901900, , , 
9.000000,2499.000000,56882646.000000, , , ,3.902344,-2.276367,0.000000
10.000000,2500.000000,56882646.000000,-0.069600,0.000000,-0.968600, , , 
11.000000,2599.000000,56882646.000000, , , ,2.926758,1.300781,0.000000
12.000000,2600.000000,56882646.000000,-0.075400,-0.023200,-1.026600, , , 
13.000000,2699.000000,56882646.000000,-0.034800,-0.072500,-1.026600, , , 
14.000000,2700.000000,56882646.000000, , , ,0.000000,2.601563,0.000000
15.000000,2800.000000,56882646.000000,0.011600,-0.040600,-0.971500, , , 
16.000000,2801.000000,56882646.000000, , , ,-1.625977,0.000000,0.000000
17.000000,2892.000000,56882646.000000, , , ,-1.951172,-2.601563,0.000000
18.000000,2899.000000,56882646.000000,-0.002900,-0.040600,-0.948300, , , 
19.000000,2993.000000,56882646.000000, , , ,-2.276367,-2.926758,0.000000
20.000000,3000.000000,56882646.000000,-0.049300,-0.005800,-0.916400, , , 
21.000000,3094.000000,56882646.000000, , , ,-0.650391,-1.625977,0.000000
22.000000,3099.000000,56882646.000000,-0.060900,0.020300,-0.925100, , , 
23.000000,3195.000000,56882646.000000, , , ,-0.325195,-1.625977,-0.325195
24.000000,3200.000000,56882646.000000,-0.055100,-0.005800,-0.933800, , , 
25.000000,3296.000000,56882646.000000, , , ,-0.650391,-1.625977,0.000000
26.000000,3299.000000,56882646.000000,-0.075400,-0.026100,-0.957000, , , 
27.000000,3397.000000,56882646.000000, , , ,-0.325195,-0.975586,0.000000
28.000000,3400.000000,56882646.000000,-0.087000,0.020300,-0.957000, , , 
29.000000,3498.000000,56882646.000000, , , ,0.000000,-0.325195,-0.325195
30.000000,3499.000000,56882646.000000,-0.101500,0.000000,-0.986000, , , 
31.000000,3599.000000,56882646.000000, , , ,0.000000,0.650391,0.000000
32.000000,3600.000000,56882646.000000,-0.124700,-0.005800,-1.023700, , , 
33.000000,3699.000000,56882646.000000,-0.110200,-0.008700,-0.974400, , , 
34.000000,3700.000000,56882646.000000, , , ,-0.325195,0.975586,0.000000
35.000000,3800.000000,56882646.000000,-0.098600,-0.017400,-0.977300, , , 
36.000000,3801.000000,56882646.000000, , , ,-0.975586,-0.975586,0.000000
37.000000,3892.000000,56882646.000000, , , ,-2.926758,-1.300781,0.325195
38.000000,3899.000000,56882646.000000,-0.130500,-0.034800,-0.965700, , , 
39.000000,3993.000000,56882646.000000, , , ,-1.625977,0.000000,0.650391
40.000000,4000.000000,56882646.000000,-0.162400,0.066700,-0.974400, , , 
41.000000,4094.000000,56882646.000000, , , ,-1.625977,0.000000,0.975586
42.000000,4100.000000,56882646.000000,-0.139200,0.063800,-0.974400, , , 
43.000000,4194.000000,56882646.000000, , , ,-1.300781,0.000000,1.300781
44.000000,4199.000000,56882646.000000,-0.124700,0.069600,-0.971500, , , 
45.000000,4295.000000,56882646.000000, , , ,-1.300781,-0.650391,1.951172
46.000000,4300.000000,56882646.000000,-0.156600,0.081200,-1.006300, , , 
47.000000,4396.000000,56882646.000000, , , ,-1.300781,0.650391,2.926758
48.000000,4399.000000,56882646.000000,-0.168200,0.118900,-0.977300, , , 
49.000000,4497.000000,56882646.000000, , , ,-1.951172,0.650391,4.227539
50.000000,4500.000000,56882646.000000,-0.139200,0.165300,-0.977300, , , 
51.000000,4598.000000,56882646.000000, , , ,-1.625977,-0.325195,5.853516
52.000000,4599.000000,56882646.000000,-0.150800,0.217500,-0.974400, , , 
53.000000,4699.000000,56882646.000000, , , ,-0.325195,-0.650391,7.804688
54.000000,4700.000000,56882646.000000,-0.142100,0.278400,-0.951200, , , 
55.000000,4799.000000,56882646.000000,-0.127600,0.316100,-0.901900, , , 
56.000000,4800.000000,56882646.000000, , , ,-0.325195,-1.951172,8.455078
57.000000,4900.000000,56882646.000000,-0.147900,0.304500,-0.971500, , , 
58.000000,4901.000000,56882646.000000, , , ,0.325195,-1.951172,10.731445
59.000000,4992.000000,56882646.000000, , , ,0.000000,-0.650391,11.707031
60.000000,4999.000000,56882646.000000,-0.118900,0.324800,-0.922200, , , 
61.000000,5093.000000,56882646.000000, , , ,0.325195,-0.325195,12.682617
62.000000,5100.000000,56882646.000000,-0.078300,0.327700,-0.945400, , , 
63.000000,5194.000000,56882646.000000, , , ,-0.975586,-1.300781,13.333008
64.000000,5199.000000,56882646.000000,-0.092800,0.339300,-0.954100, , , 
65.000000,5295.000000,56882646.000000, , , ,0.000000,-0.975586,14.308594
66.000000,5300.000000,56882646.000000,-0.107300,0.379900,-0.959900, , , 
67.000000,5396.000000,56882646.000000, , , ,-1.625977,0.000000,14.958983
68.000000,5399.000000,56882646.000000,-0.107300,0.339300,-0.983100, , , 
69.000000,5497.000000,56882646.000000, , , ,-1.300781,-0.325195,13.658203
70.000000,5500.000000,56882646.000000,-0.078300,0.417600,-0.919300, , , 
71.000000,5598.000000,56882646.000000, , , ,-0.325195,-1.951172,16.259766
72.000000,5599.000000,56882646.000000,-0.081200,0.437900,-0.922200, , , 
73.000000,5699.000000,56882646.000000, , , ,-0.325195,-2.926758,17.235352
74.000000,5700.000000,56882646.000000,-0.113100,0.426300,-0.945400, , , 
75.000000,5799.000000,56882646.000000,-0.121800,0.464000,-0.930900, , , 
76.000000,5800.000000,56882646.000000, , , ,0.000000,-1.300781,17.885742
77.000000,5900.000000,56882646.000000,-0.110200,0.475600,-0.922200, , , 
78.000000,5901.000000,56882646.000000, , , ,3.251953,-0.975586,17.885742
79.000000,5992.000000,56882646.000000, , , ,1.300781,-0.650391,17.885742
80.000000,5999.000000,56882646.000000,-0.116000,0.408900,-1.006300, , , 
81.000000,6093.000000,56882646.000000, , , ,3.251953,0.325195,18.210938
82.000000,6100.000000,56882646.000000,-0.098600,0.458200,-0.939600, , , 
83.000000,6194.000000,56882646.000000, , , ,2.926758,-0.325195,17.885742
84.000000,6199.000000,56882646.000000,-0.037700,0.435000,-0.904800, , , 
85.000000,6295.000000,56882646.000000, , , ,3.902344,-3.902344,18.536133
86.000000,6300.000000,56882646.000000,-0.052200,0.452400,-0.916400, , , 
87.000000,6396.000000,56882646.000000, , , ,9.105469,-3.902344,18.210938
88.000000,6399.000000,56882646.000000,-0.113100,0.432100,-0.928000, , , 
89.000000,6497.000000,56882646.000000, , , ,3.577148,3.902344,17.560547
90.000000,6500.000000,56882646.000000,-0.243600,0.301600,-1.220900, , , 
91.000000,6598.000000,56882646.000000, , , ,2.601563,11.707031,18.210938
92.000000,6599.000000,56882646.000000,-0.142100,0.403100,-1.046900, , , 
93.000000,6699.000000,56882646.000000, , , ,0.000000,9.105469,19.186523
94.000000,6700.000000,56882646.000000,0.078300,0.307400,-1.000500, , , 
95.000000,6799.000000,56882646.000000,0.101500,0.339300,-0.991800, , , 
96.000000,6800.000000,56882646.000000, , , ,-3.577148,-2.926758,19.836914
97.000000,6900.000000,56882646.000000,-0.092800,0.469800,-0.916400, , , 
98.000000,6901.000000,56882646.000000, , , ,-1.300781,-4.552734,19.511719
99.000000,6992.000000,56882646.000000, , , ,-0.650391,-1.300781,19.511719
100.000000,6999.000000,56882646.000000,-0.101500,0.426300,-0.930900, , , 
101.000000,7093.000000,56882646.000000, , , ,-0.650391,-0.325195,19.186523
102.000000,7100.000000,56882646.000000,-0.063800,0.408900,-0.962800, , , 
103.000000,7194.000000,56882646.000000, , , ,0.325195,0.000000,18.210938
104.000000,7199.000000,56882646.000000,-0.043500,0.406000,-0.988900, , , 
105.000000,7295.000000,56882646.000000, , , ,0.325195,0.000000,18.210938
106.000000,7300.000000,56882646.000000,-0.023200,0.379900,-0.962800, , , 
107.000000,7396.000000,56882646.000000, , , ,0.325195,0.650391,17.235352
108.000000,7399.000000,56882646.000000,0.023200,0.345100,-0.959900, , , 
109.000000,7497.000000,56882646.000000, , , ,0.000000,-0.975586,15.284179
110.000000,7500.000000,56882646.000000,0.063800,0.258100,-0.910600, , , 
111.000000,7598.000000,56882646.000000, , , ,-1.300781,-1.951172,13.007813
112.000000,7599.000000,56882646.000000,0.058000,0.220400,-0.957000, , , 
113.000000,7699.000000,56882646.000000, , , ,1.300781,-1.300781,10.081055
114.000000,7700.000000,56882646.000000,0.014500,0.229100,-0.965700, , , 
115.000000,7799.000000,56882646.000000,0.043500,0.136300,-0.971500, , , 
116.000000,7800.000000,56882646.000000, , , ,1.300781,1.300781,8.455078
117.000000,7900.000000,56882646.000000,0.089900,0.101500,-0.977300, , , 
118.000000,7901.000000,56882646.000000, , , ,0.650391,0.975586,6.178711
119.000000,7992.000000,56882646.000000, , , ,0.975586,0.000000,4.227539
120.000000,7999.000000,56882646.000000,0.060900,0.101500,-1.044000, , , 
121.000000,8093.000000,56882646.000000, , , ,0.650391,1.625977,3.251953
122.000000,8100.000000,56882646.000000,0.055100,0.058000,-1.009200, , , 
123.000000,8194.000000,56882646.000000, , , ,0.650391,1.951172,2.601563
124.000000,8199.000000,56882646.000000,0.092800,0.055100,-0.994700, , , 
125.000000,8295.000000,56882646.000000, , , ,0.975586,0.325195,1.625977
126.000000,8300.000000,56882646.000000,0.107300,0.040600,-0.997600, , , 
127.000000,8396.000000,56882646.000000, , , ,1.300781,0.000000,0.325195
128.000000,8399.000000,56882646.000000,0.092800,-0.008700,-0.986000, , , 
129.000000,8497.000000,56882646.000000, , , ,0.650391,0.000000,0.325195
130.000000,8500.000000,56882646.000000,0.092800,0.002900,-0.968600, , , 
131.000000,8598.000000,56882646.000000, , , ,0.325195,-0.325195,0.000000
132.000000,8599.000000,56882646.000000,0.089900,0.020300,-0.988900, , , 
133.000000,8699.000000,56882646.000000, , , ,0.000000,0.000000,0.325195
134.000000,8700.000000,56882646.000000,0.081200,-0.005800,-0.980200, , , 
135.000000,8799.000000,56882646.000000,0.095700,0.023200,-0.965700, , , 
136.000000,8800.000000,56882646.000000, , , ,0.000000,0.000000,0.325195
137.000000,8900.000000,56882646.000000,0.098600,0.008700,-0.983100, , , 
138.000000,8901.000000,56882646.000000, , , ,-0.650391,0.000000,0.000000
139.000000,8992.000000,56882646.000000, , , ,0.000000,-0.325195,0.000000
140.000000,8999.000000,56882646.000000,0.075400,0.029000,-0.980200, , , 
141.000000,9093.000000,56882646.000000, , , ,-0.325195,0.000000,0.000000
142.000000,9100.000000,56882646.000000,0.087000,0.017400,-0.988900, , , 
