System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,1997.000000,4486594.000000, , , ,0.000000,-0.650391,20.812500
2.000000,2000.000000,4486594.000000,0.098600,0.133400,-0.971500, , , 
3.000000,2098.000000,4486594.000000, , , ,-1.300780,-0.975586,19.511700
4.000000,2099.000000,4486594.000000,0.110200,0.092800,-0.986000, , , 
5.000000,2199.000000,4486594.000000, , , ,-0.650391,-1.300780,19.186501
6.000000,2200.000000,4486594.000000,0.095700,0.060900,-0.983100, , , 
7.000000,2299.000000,4486594.000000,0.098600,0.084100,-0.986000, , , 
8.000000,2300.000000,4486594.000000, , , ,-2.276370,-0.650391,17.885700
9.000000,2400.000000,4486594.000000,0.130500,0.020300,-0.925100, , , 
10.000000,2401.000000,4486594.000000, , , ,-2.601560,-1.300780,16.584999
11.000000,2492.000000,4486594.000000, , , ,-2.926760,-2.601560,15.609400
12.000000,2499.000000,4486594.000000,0.081200,0.110200,-1.009200, , , 
13.000000,2593.000000,4486594.000000, , , ,0.650391,-0.325195,13.983400
14.000000,2600.000000,4486594.000000,0.087000,0.127600,-1.055600, , , 
15.000000,2694.000000,4486594.000000, , , ,1.300780,-0.650391,13.007800
16.000000,2699.000000,4486594.000000,0.130500,0.049300,-0.983100, , , 
17.000000,2795.000000,4486594.000000, , , ,-0.325195,-0.650391,12.682600
18.000000,2800.000000,4486594.000000,0.142100,0.020300,-0.957000, , , 
19.000000,2896.000000,4486594.000000, , , ,-1.951170,-0.325195,12.682600
20.000000,2899.000000,4486594.000000,0.124700,0.049300,-0.988900, , , 
21.000000,2997.000000,4486594.000000, , , ,-2.926760,0.650391,12.357400
22.000000,3000.000000,4486594.000000,0.145000,0.098600,-0.945400, , , 
23.000000,3097.000000,4486594.000000, , , ,-1.951170,-1.625980,11.381800
24.000000,3100.000000,4486594.000000,0.159500,0.095700,-0.997600, , , 
25.000000,3198.000000,4486594.000000, , , ,0.000000,-1.951170,11.056600
26.000000,3199.000000,4486594.000000,0.087000,0.116000,-0.980200, , , 
27.000000,3299.000000,4486594.000000, , , ,0.000000,-2.601560,11.056600
28.000000,3300.000000,4486594.000000,0.072500,0.043500,-1.006300, , , 
29.000000,3399.000000,4486594.000000,0.060900,0.037700,-0.983100, , , 
30.000000,3400.000000,4486594.000000, , , ,-0.650391,-2.276370,10.081100
31.000000,3500.000000,4486594.000000,0.034800,0.043500,-0.986000, , , 
