System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,2000.000000,69053325.000000,-0.330600,-0.005800,-0.942500, , , 
2.000000,2001.000000,69053325.000000, , , ,-0.650391,-0.650391,0.000000
3.000000,2092.000000,69053325.000000, , , ,-1.300781,-0.650391,0.000000
4.000000,2099.000000,69053325.000000,-0.304500,0.026100,-0.942500, , , 
5.000000,2193.000000,69053325.000000, , , ,0.000000,-1.300781,0.000000
6.000000,2200.000000,69053325.000000,-0.310300,0.063800,-0.988900, , , 
7.000000,2294.000000,69053325.000000, , , ,-0.325195,-0.975586,0.325195
8.000000,2299.000000,69053325.000000,-0.333500,0.031900,-0.933800, , , 
9.000000,2395.000000,69053325.000000, , , ,-0.650391,-0.325195,0.650391
10.000000,2400.000000,69053325.000000,-0.330600,0.002900,-0.954100, , , 
11.000000,2496.000000,69053325.000000, , , ,-1.300781,0.000000,0.325195
12.000000,2499.000000,69053325.000000,-0.310300,0.029000,-0.933800, , , 
13.000000,2597.000000,69053325.000000, , , ,-0.650391,0.325195,0.000000
14.000000,2600.000000,69053325.000000,-0.321900,0.058000,-0.983100, , , 
15.000000,2698.000000,69053325.000000, , , ,0.000000,0.000000,0.325195
16.000000,2699.000000,69053325.000000,-0.278400,0.017400,-0.942500, , , 
17.000000,2799.000000,69053325.000000, , , ,0.325195,-1.300781,0.325195
18.000000,2800.000000,69053325.000000,-0.290000,0.072500,-0.930900, , , 
19.000000,2899.000000,69053325.000000,-0.304500,0.014500,-0.959900, , , 
20.000000,2900.000000,69053325.000000, , , ,-0.650391,-0.975586,0.325195
21.000000,3000.000000,69053325.000000,-0.298700,0.049300,-0.930900, , , 
22.000000,3001.000000,69053325.000000, , , ,0.000000,-2.276367,0.325195
23.000000,3092.000000,69053325.000000, , , ,-0.325195,-1.625977,0.650391
24.000000,3099.000000,69053325.000000,-0.313200,-0.008700,-0.939600, , , 
25.000000,3193.000000,69053325.000000, , , ,0.000000,-0.650391,0.325195
26.000000,3200.000000,69053325.000000,-0.333500,0.063800,-0.954100, , , 
27.000000,3294.000000,69053325.000000, , , ,-0.325195,-0.325195,0.325195
28.000000,3299.000000,69053325.000000,-0.295800,0.037700,-0.962800, , , 
