System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,1999.000000,82155002.000000, , , ,1.951172,-0.975586,-1.951172
2.000000,2000.000000,82155002.000000,-0.055100,0.017400,-0.991800, , , 
3.000000,2099.000000,82155002.000000,-0.052200,-0.017400,-1.003400, , , 
4.000000,2100.000000,82155002.000000, , , ,1.951172,-0.975586,-1.951172
5.000000,2200.000000,82155002.000000,-0.069600,-0.008700,-1.009200, , , 
6.000000,2201.000000,82155002.000000, , , ,1.951172,-1.300781,-1.625977
7.000000,2292.000000,82155002.000000, , , ,1.300781,-0.325195,-2.276367
8.000000,2299.000000,82155002.000000,-0.084100,-0.040600,-1.009200, , , 
9.000000,2393.000000,82155002.000000, , , ,1.625977,-0.650391,-2.276367
10.000000,2400.000000,82155002.000000,-0.060900,-0.011600,-0.980200, , , 
11.000000,2494.000000,82155002.000000, , , ,1.625977,-0.975586,-2.276367
12.000000,2499.000000,82155002.000000,-0.060900,-0.023200,-0.980200, , , 
13.000000,2595.000000,82155002.000000, , , ,1.300781,-0.650391,-1.625977
14.000000,2600.000000,82155002.000000,-0.072500,-0.037700,-1.012100, , , 
15.000000,2696.000000,82155002.000000, , , ,1.300781,-0.650391,-2.601563
16.000000,2699.000000,82155002.000000,-0.058000,-0.017400,-0.977300, , , 
17.000000,2797.000000,82155002.000000, , , ,0.325195,-0.975586,-2.926758
18.000000,2800.000000,82155002.000000,-0.075400,-0.040600,-1.006300, , , 
19.000000,2898.000000,82155002.000000, , , ,0.325195,-0.325195,-2.601563
20.000000,2899.000000,82155002.000000,-0.089900,-0.072500,-1.038200, , , 
21.000000,2999.000000,82155002.000000, , , ,-0.650391,0.000000,-2.926758
22.000000,3000.000000,82155002.000000,-0.089900,-0.037700,-0.988900, , , 
23.000000,3099.000000,82155002.000000,-0.118900,0.011600,-0.994700, , , 
24.000000,3100.000000,82155002.000000, , , ,0.000000,-0.325195,-2.276367
25.000000,3200.000000,82155002.000000,-0.142100,0.002900,-0.991800, , , 
26.000000,3201.000000,82155002.000000, , , ,-0.325195,-0.325195,-2.276367
27.000000,3292.000000,82155002.000000, , , ,0.325195,-0.325195,-2.276367
28.000000,3299.000000,82155002.000000,-0.147900,-0.002900,-0.994700, , , 
29.000000,3393.000000,82155002.000000, , , ,0.975586,-0.325195,-2.601563
30.000000,3400.000000,82155002.000000,-0.168200,-0.023200,-0.991800, , , 
31.000000,3494.000000,82155002.000000, , , ,0.975586,0.000000,-2.276367
32.000000,3499.000000,82155002.000000,-0.197200,0.000000,-1.009200, , , 
33.000000,3595.000000,82155002.000000, , , ,0.650391,1.300781,-0.975586
34.000000,3600.000000,82155002.000000,-0.165300,-0.017400,-1.003400, , , 
35.000000,3696.000000,82155002.000000, , , ,0.000000,-0.650391,-1.300781
36.000000,3699.000000,82155002.000000,-0.156600,-0.029000,-0.997600, , , 
37.000000,3797.000000,82155002.000000, , , ,-0.650391,-0.650391,-1.300781
38.000000,3800.000000,82155002.000000,-0.197200,-0.017400,-1.003400, , , 
39.000000,3898.000000,82155002.000000, , , ,-1.300781,-0.325195,-0.650391
40.000000,3899.000000,82155002.000000,-0.168200,0.002900,-0.988900, , , 
41.000000,3999.000000,82155002.000000, , , ,-0.975586,-0.650391,-1.300781
42.000000,4000.000000,82155002.000000,-0.139200,0.040600,-0.991800, , , 
43.000000,4099.000000,82155002.000000,-0.153700,0.023200,-0.994700, , , 
44.000000,4100.000000,82155002.000000, , , ,0.325195,-0.650391,-0.975586
45.000000,4200.000000,82155002.000000,-0.174000,0.014500,-1.015000, , , 
46.000000,4201.000000,82155002.000000, , , ,0.325195,-0.650391,-0.975586
47.000000,4292.000000,82155002.000000, , , ,0.325195,-0.325195,-0.650391
48.000000,4299.000000,82155002.000000,-0.168200,0.000000,-1.000500, , , 
49.000000,4393.000000,82155002.000000, , , ,0.325195,-0.650391,-0.975586
50.000000,4400.000000,82155002.000000,-0.142100,0.011600,-0.980200, , , 
51.000000,4494.000000,82155002.000000, , , ,0.650391,-1.300781,-0.975586
52.000000,4499.000000,82155002.000000,-0.162400,0.029000,-0.991800, , , 
53.000000,4595.000000,82155002.000000, , , ,0.325195,-0.650391,-0.325195
54.000000,4600.000000,82155002.000000,-0.156600,0.017400,-0.986000, , , 
55.000000,4696.000000,82155002.000000, , , ,1.625977,-0.975586,-0.650391
56.000000,4699.000000,82155002.000000,-0.171100,-0.005800,-1.012100, , , 
57.000000,4797.000000,82155002.000000, , , ,0.000000,-0.325195,-1.300781
58.000000,4800.000000,82155002.000000,-0.147900,-0.011600,-1.009200, , , 
59.000000,4898.000000,82155002.000000, , , ,0.000000,-0.325195,-0.975586
60.000000,4899.000000,82155002.000000,-0.066700,-0.020300,-0.988900, , , 
61.000000,4999.000000,82155002.000000, , , ,-0.325195,-0.325195,-1.300781
62.000000,5000.000000,82155002.000000,-0.029000,-0.002900,-0.991800, , , 
63.000000,5099.000000,82155002.000000,-0.037700,0.002900,-0.988900, , , 
64.000000,5100.000000,82155002.000000, , , ,0.000000,-0.325195,-1.951172
65.000000,5200.000000,82155002.000000,-0.052200,-0.034800,-1.029500, , , 
66.000000,5201.000000,82155002.000000, , , ,0.325195,0.000000,-2.601563
67.000000,5292.000000,82155002.000000, , , ,0.000000,0.000000,-3.577148
68.000000,5299.000000,82155002.000000,-0.040600,-0.046400,-0.988900, , , 
69.000000,5393.000000,82155002.000000, , , ,0.000000,-0.650391,-4.877930
70.000000,5400.000000,82155002.000000,-0.037700,-0.058000,-0.988900, , , 
71.000000,5494.000000,82155002.000000, , , ,0.325195,0.000000,-5.528320
72.000000,5499.000000,82155002.000000,-0.063800,-0.020300,-1.009200, , , 
73.000000,5595.000000,82155002.000000, , , ,0.975586,0.000000,-5.528320
74.000000,5600.000000,82155002.000000,-0.049300,-0.049300,-1.000500, , , 
75.000000,5696.000000,82155002.000000, , , ,1.300781,0.000000,-6.503906
76.000000,5699.000000,82155002.000000,-0.037700,-0.069600,-0.959900, , , 
77.000000,5797.000000,82155002.000000, , , ,0.325195,-0.325195,-9.430664
78.000000,5800.000000,82155002.000000,-0.034800,-0.113100,-1.020800, , , 
79.000000,5898.000000,82155002.000000, , , ,-0.325195,-0.650391,-10.081055
80.000000,5899.000000,82155002.000000,-0.037700,-0.095700,-1.012100, , , 
81.000000,5999.000000,82155002.000000, , , ,-0.975586,-0.325195,-11.056641
82.000000,6000.000000,82155002.000000,-0.043500,-0.072500,-0.988900, , , 
83.000000,6099.000000,82155002.000000,-0.052200,-0.072500,-1.020800, , , 
84.000000,6100.000000,82155002.000000, , , ,0.000000,0.000000,-11.056641
85.000000,6200.000000,82155002.000000,-0.043500,-0.124700,-1.000500, , , 
86.000000,6201.000000,82155002.000000, , , ,-0.975586,0.325195,-13.007813
87.000000,6292.000000,82155002.000000, , , ,-0.650391,0.000000,-14.633790
88.000000,6299.000000,82155002.000000,-0.034800,-0.092800,-0.965700, , , 
89.000000,6393.000000,82155002.000000, , , ,-1.300781,-0.325195,-15.609375
90.000000,6400.000000,82155002.000000,-0.020300,-0.078300,-0.971500, , , 
91.000000,6494.000000,82155002.000000, , , ,0.000000,-0.650391,-15.284179
92.000000,6499.000000,82155002.000000,-0.029000,-0.063800,-0.994700, , , 
93.000000,6595.000000,82155002.000000, , , ,-1.300781,-0.325195,-16.259766
94.000000,6600.000000,82155002.000000,-0.049300,-0.089900,-1.032400, , , 
95.000000,6696.000000,82155002.000000, , , ,0.000000,-1.300781,-16.584961
96.000000,6699.000000,82155002.000000,-0.014500,-0.075400,-0.983100, , , 
97.000000,6797.000000,82155002.000000, , , ,-1.625977,-2.276367,-16.910156
98.000000,6800.000000,82155002.000000,-0.058000,-0.124700,-1.012100, , , 
99.000000,6898.000000,82155002.000000, , , ,-1.625977,-1.300781,-16.584961
100.000000,6899.000000,82155002.000000,-0.052200,-0.092800,-0.986000, , , 
101.000000,6999.000000,82155002.000000, , , ,-1.625977,-0.650391,-17.235352
102.000000,7000.000000,82155002.000000,-0.055100,-0.101500,-1.000500, , , 
103.000000,7099.000000,82155002.000000,-0.043500,-0.060900,-1.000500, , , 
104.000000,7100.000000,82155002.000000, , , ,-0.975586,0.000000,-17.560547
105.000000,7200.000000,82155002.000000,-0.026100,-0.040600,-0.974400, , , 
106.000000,7201.000000,82155002.000000, , , ,-0.325195,0.650391,-18.210938
107.000000,7292.000000,82155002.000000, , , ,1.625977,0.000000,-18.861328
108.000000,7299.000000,82155002.000000,-0.008700,-0.066700,-0.991800, , , 
109.000000,7393.000000,82155002.000000, , , ,1.625977,-0.325195,-18.861328
110.000000,7400.000000,82155002.000000,-0.014500,-0.130500,-0.997600, , , 
111.000000,7494.000000,82155002.000000, , , ,0.650391,-0.650391,-18.536133
112.000000,7499.000000,82155002.000000,-0.020300,-0.127600,-0.974400, , , 
113.000000,7595.000000,82155002.000000, , , ,1.300781,-0.650391,-19.836914
114.000000,7600.000000,82155002.000000,-0.031900,-0.107300,-1.012100, , , 
115.000000,7696.000000,82155002.000000, , , ,0.975586,0.000000,-19.836914
116.000000,7699.000000,82155002.000000,-0.043500,-0.133400,-1.044000, , , 
117.000000,7797.000000,82155002.000000, , , ,0.650391,0.000000,-19.836914
118.000000,7800.000000,82155002.000000,-0.023200,-0.139200,-0.991800, , , 
119.000000,7898.000000,82155002.000000, , , ,2.601563,0.000000,-20.162109
120.000000,7899.000000,82155002.000000,-0.060900,-0.104400,-1.049800, , , 
121.000000,7999.000000,82155002.000000, , , ,3.902344,2.276367,-19.836914
122.000000,8000.000000,82155002.000000,-0.066700,-0.052200,-1.035300, , , 
123.000000,8099.000000,82155002.000000,-0.023200,-0.029000,-1.012100, , , 
124.000000,8100.000000,82155002.000000, , , ,9.105469,3.577148,-19.511719
125.000000,8200.000000,82155002.000000,-0.087000,-0.237800,-1.061400, , , 
126.000000,8201.000000,82155002.000000, , , ,7.479492,4.877930,-19.511719
127.000000,8292.000000,82155002.000000, , , ,1.951172,7.479492,-18.861328
128.000000,8299.000000,82155002.000000,-0.078300,-0.388600,-1.055600, , , 
