System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,2093.000000,7498354.000000, , , ,0.650391,3.251953,0.000000
2.000000,2100.000000,7498354.000000,-0.101500,0.043500,-0.939600, , , 
3.000000,2194.000000,7498354.000000, , , ,0.000000,1.951172,0.325195
4.000000,2199.000000,7498354.000000,-0.069600,-0.037700,-1.049800, , , 
5.000000,2295.000000,7498354.000000, , , ,-3.251953,1.625977,0.650391
6.000000,2300.000000,7498354.000000,-0.110200,-0.008700,-1.084600, , , 
7.000000,2396.000000,7498354.000000, , , ,0.650391,2.601563,0.650391
8.000000,2399.000000,7498354.000000,-0.116000,0.066700,-1.006300, , , 
9.000000,2497.000000,7498354.000000, , , ,0.650391,3.251953,0.000000
10.000000,2500.000000,7498354.000000,-0.066700,0.040600,-0.922200, , , 
11.000000,2598.000000,7498354.000000, , , ,0.325195,1.951172,0.000000
12.000000,2599.000000,7498354.000000,-0.078300,0.005800,-0.977300, , , 
13.000000,2699.000000,7498354.000000, , , ,-1.300781,0.650391,0.325195
14.000000,2700.000000,7498354.000000,-0.066700,-0.049300,-1.067200, , , 
15.000000,2799.000000,7498354.000000,-0.078300,0.046400,-0.986000, , , 
16.000000,2800.000000,7498354.000000, , , ,0.975586,-0.650391,0.325195
17.000000,2900.000000,7498354.000000,-0.127600,0.017400,-0.986000, , , 
18.000000,2901.000000,7498354.000000, , , ,-1.300781,0.000000,-0.325195
19.000000,2992.000000,7498354.000000, , , ,-0.650391,3.251953,0.000000
20.000000,2999.000000,7498354.000000,-0.127600,0.000000,-1.035300, , , 
21.000000,3093.000000,7498354.000000, , , ,-1.951172,3.902344,0.000000
22.000000,3100.000000,7498354.000000,-0.081200,-0.023200,-1.052700, , , 
23.000000,3194.000000,7498354.000000, , , ,0.650391,1.951172,0.325195
24.000000,3199.000000,7498354.000000,-0.063800,0.162400,-0.965700, , , 
25.000000,3295.000000,7498354.000000, , , ,1.951172,1.625977,0.000000
26.000000,3300.000000,7498354.000000,-0.104400,-0.014500,-0.977300, , , 
27.000000,3396.000000,7498354.000000, , , ,1.625977,2.926758,0.650391
28.000000,3399.000000,7498354.000000,-0.092800,0.026100,-1.032400, , , 
29.000000,3497.000000,7498354.000000, , , ,0.000000,2.601563,0.650391
30.000000,3500.000000,7498354.000000,-0.075400,-0.052200,-1.038200, , , 
31.000000,3598.000000,7498354.000000, , , ,-1.625977,1.625977,0.650391
32.000000,3599.000000,7498354.000000,-0.092800,0.008700,-1.026600, , , 
33.000000,3699.000000,7498354.000000, , , ,0.000000,2.926758,0.325195
34.000000,3700.000000,7498354.000000,-0.098600,0.058000,-0.968600, , , 
35.000000,3799.000000,7498354.000000,-0.084100,0.040600,-0.977300, , , 
36.000000,3800.000000,7498354.000000, , , ,-0.325195,2.601563,0.000000
37.000000,3900.000000,7498354.000000,-0.081200,0.023200,-0.971500, , , 
38.000000,3901.000000,7498354.000000, , , ,0.975586,0.325195,0.325195
39.000000,3992.000000,7498354.000000, , , ,0.000000,-0.325195,0.325195
40.000000,3999.000000,7498354.000000,-0.110200,-0.002900,-0.988900, , , 
41.000000,4093.000000,7498354.000000, , , ,0.000000,-0.325195,0.650391
42.000000,4100.000000,7498354.000000,-0.107300,0.011600,-0.997600, , , 
43.000000,4194.000000,7498354.000000, , , ,-0.650391,-0.325195,0.975586
44.000000,4199.000000,7498354.000000,-0.153700,-0.005800,-1.029500, , , 
45.000000,4295.000000,7498354.000000, , , ,-1.300781,1.625977,0.650391
46.000000,4300.000000,7498354.000000,-0.153700,0.029000,-1.029500, , , 
47.000000,4396.000000,7498354.000000, , , ,-0.975586,1.951172,0.975586
48.000000,4399.000000,7498354.000000,-0.107300,0.017400,-0.965700, , , 
49.000000,4497.000000,7498354.000000, , , ,-0.650391,1.625977,0.650391
50.000000,4500.000000,7498354.000000,-0.121800,0.058000,-0.965700, , , 
51.000000,4598.000000,7498354.000000, , , ,0.650391,1.300781,0.325195
52.000000,4599.000000,7498354.000000,-0.107300,0.031900,-0.988900, , , 
53.000000,4699.000000,7498354.000000, , , ,0.000000,1.300781,0.650391
54.000000,4700.000000,7498354.000000,-0.118900,0.008700,-0.971500, , , 
55.000000,4799.000000,7498354.000000,-0.089900,0.005800,-1.000500, , , 
56.000000,4800.000000,7498354.000000, , , ,0.000000,0.000000,0.650391
57.000000,4900.000000,7498354.000000,-0.104400,0.011600,-1.003400, , , 
58.000000,4901.000000,7498354.000000, , , ,-0.975586,-1.625977,1.300781
59.000000,4992.000000,7498354.000000, , , ,-0.325195,-0.975586,1.625977
60.000000,4999.000000,7498354.000000,-0.139200,0.020300,-0.986000, , , 
61.000000,5093.000000,7498354.000000, , , ,-0.650391,0.975586,1.625977
62.000000,5100.000000,7498354.000000,-0.133400,0.040600,-0.977300, , , 
63.000000,5194.000000,7498354.000000, , , ,0.650391,0.000000,1.300781
64.000000,5199.000000,7498354.000000,-0.121800,0.066700,-0.986000, , , 
65.000000,5295.000000,7498354.000000, , , ,0.650391,-0.325195,1.300781
66.000000,5300.000000,7498354.000000,-0.130500,0.020300,-0.980200, , , 
67.000000,5396.000000,7498354.000000, , , ,0.000000,0.000000,1.300781
68.000000,5399.000000,7498354.000000,-0.136300,0.023200,-0.980200, , , 
69.000000,5497.000000,7498354.000000, , , ,0.000000,0.000000,1.625977
70.000000,5500.000000,7498354.000000,-0.121800,0.000000,-0.988900, , , 
71.000000,5598.000000,7498354.000000, , , ,-0.650391,0.000000,1.625977
72.000000,5599.000000,7498354.000000,-0.116000,0.020300,-0.977300, , , 
73.000000,5699.000000,7498354.000000, , , ,-0.325195,-0.325195,1.625977
74.000000,5700.000000,7498354.000000,-0.130500,0.043500,-0.980200, , , 
75.000000,5799.000000,7498354.000000,-0.127600,0.034800,-0.994700, , , 
76.000000,5800.000000,7498354.000000, , , ,0.000000,-0.325195,1.951172
77.000000,5900.000000,7498354.000000,-0.136300,0.026100,-0.991800, , , 
78.000000,5901.000000,7498354.000000, , , ,0.000000,0.000000,1.951172
79.000000,5992.000000,7498354.000000, , , ,-0.325195,0.000000,1.625977
80.000000,5999.000000,7498354.000000,-0.139200,0.008700,-0.983100, , , 
81.000000,6093.000000,7498354.000000, , , ,0.000000,0.000000,1.625977
82.000000,6100.000000,7498354.000000,-0.142100,0.029000,-0.991800, , , 
83.000000,6194.000000,7498354.000000, , , ,0.000000,0.000000,1.300781
84.000000,6199.000000,7498354.000000,-0.145000,0.017400,-0.994700, , , 
85.000000,6295.000000,7498354.000000, , , ,0.000000,0.325195,1.300781
86.000000,6300.000000,7498354.000000,-0.124700,0.020300,-0.991800, , , 
87.000000,6396.000000,7498354.000000, , , ,0.325195,0.650391,0.975586
88.000000,6399.000000,7498354.000000,-0.110200,0.000000,-0.983100, , , 
89.000000,6497.000000,7498354.000000, , , ,0.000000,0.000000,0.650391
90.000000,6500.000000,7498354.000000,-0.116000,0.005800,-0.983100, , , 
91.000000,6598.000000,7498354.000000, , , ,0.000000,0.000000,0.325195
92.000000,6599.000000,7498354.000000,-0.124700,0.005800,-0.977300, , , 
93.000000,6699.000000,7498354.000000, , , ,0.650391,0.000000,0.325195
94.000000,6700.000000,7498354.000000,-0.136300,0.005800,-0.994700, , , 
95.000000,6799.000000,7498354.000000,-0.124700,0.000000,-0.994700, , , 
96.000000,6800.000000,7498354.000000, , , ,0.000000,0.325195,0.325195
97.000000,6900.000000,7498354.000000,-0.110200,0.002900,-0.983100, , , 
98.000000,6901.000000,7498354.000000, , , ,0.000000,0.650391,0.000000
99.000000,6992.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
100.000000,6999.000000,7498354.000000,-0.107300,0.014500,-0.983100, , , 
101.000000,7093.000000,7498354.000000, , , ,0.325195,0.325195,0.000000
102.000000,7100.000000,7498354.000000,-0.101500,0.017400,-0.986000, , , 
103.000000,7194.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
104.000000,7199.000000,7498354.000000,-0.098600,0.014500,-0.983100, , , 
105.000000,7295.000000,7498354.000000, , , ,0.325195,0.000000,0.000000
106.000000,7300.000000,7498354.000000,-0.095700,0.008700,-0.988900, , , 
107.000000,7396.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
108.000000,7399.000000,7498354.000000,-0.087000,0.011600,-0.988900, , , 
109.000000,7497.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
110.000000,7500.000000,7498354.000000,-0.078300,0.011600,-0.983100, , , 
111.000000,7598.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
112.000000,7599.000000,7498354.000000,-0.069600,0.011600,-0.986000, , , 
113.000000,7699.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
114.000000,7700.000000,7498354.000000,-0.066700,0.011600,-0.988900, , , 
115.000000,7799.000000,7498354.000000,-0.063800,0.011600,-0.988900, , , 
116.000000,7800.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
117.000000,7900.000000,7498354.000000,-0.058000,0.000000,-0.986000, , , 
118.000000,7901.000000,7498354.000000, , , ,0.000000,0.000000,-0.325195
119.000000,7992.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
120.000000,7999.000000,7498354.000000,-0.058000,0.008700,-0.988900, , , 
121.000000,8093.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
122.000000,8100.000000,7498354.000000,-0.052200,0.014500,-0.986000, , , 
123.000000,8194.000000,7498354.000000, , , ,0.325195,0.000000,0.000000
124.000000,8199.000000,7498354.000000,-0.046400,0.011600,-0.988900, , , 
125.000000,8294.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
126.000000,8299.000000,7498354.000000,-0.037700,0.011600,-0.988900, , , 
127.000000,8395.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
128.000000,8400.000000,7498354.000000,-0.026100,0.008700,-0.988900, , , 
129.000000,8496.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
130.000000,8499.000000,7498354.000000,0.005800,0.008700,-0.994700, , , 
131.000000,8597.000000,7498354.000000, , , ,0.000000,0.325195,-0.325195
132.000000,8600.000000,7498354.000000,0.046400,0.008700,-0.994700, , , 
133.000000,8698.000000,7498354.000000, , , ,0.000000,0.325195,0.000000
134.000000,8699.000000,7498354.000000,0.037700,0.011600,-0.977300, , , 
135.000000,8799.000000,7498354.000000, , , ,0.000000,0.000000,0.000000
136.000000,8800.000000,7498354.000000,0.017400,0.011600,-0.971500, , , 
137.000000,8899.000000,7498354.000000,0.020300,0.011600,-0.988900, , , 
