System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,1999.000000,24607511.000000, , , ,1.300781,-0.650391,0.000000
2.000000,2000.000000,24607511.000000,-0.089900,0.066700,-1.003400, , , 
3.000000,2099.000000,24607511.000000,-0.104400,0.020300,-0.991800, , , 
4.000000,2100.000000,24607511.000000, , , ,1.625977,-0.650391,0.000000
5.000000,2200.000000,24607511.000000,-0.113100,0.011600,-1.003400, , , 
6.000000,2201.000000,24607511.000000, , , ,1.300781,0.000000,0.000000
7.000000,2292.000000,24607511.000000, , , ,2.276367,0.650391,0.000000
8.000000,2299.000000,24607511.000000,-0.107300,0.017400,-1.009200, , , 
9.000000,2393.000000,24607511.000000, , , ,1.625977,0.325195,-0.325195
10.000000,2400.000000,24607511.000000,-0.116000,-0.040600,-1.023700, , , 
11.000000,2494.000000,24607511.000000, , , ,1.300781,1.300781,-0.325195
12.000000,2499.000000,24607511.000000,-0.104400,0.008700,-1.023700, , , 
13.000000,2595.000000,24607511.000000, , , ,1.951172,0.650391,-0.325195
14.000000,2600.000000,24607511.000000,-0.087000,-0.034800,-0.977300, , , 
15.000000,2696.000000,24607511.000000, , , ,-0.650391,-2.276367,0.000000
16.000000,2699.000000,24607511.000000,-0.098600,-0.029000,-0.965700, , , 
17.000000,2797.000000,24607511.000000, , , ,0.650391,-1.951172,0.000000
18.000000,2800.000000,24607511.000000,-0.142100,0.031900,-1.006300, , , 
19.000000,2898.000000,24607511.000000, , , ,0.975586,0.975586,-0.325195
20.000000,2899.000000,24607511.000000,-0.191400,-0.040600,-1.046900, , , 
21.000000,2999.000000,24607511.000000, , , ,0.325195,4.552734,-0.325195
22.000000,3000.000000,24607511.000000,-0.176900,-0.040600,-1.102000, , , 
23.000000,3099.000000,24607511.000000,-0.110200,-0.034800,-1.090400, , , 
24.000000,3100.000000,24607511.000000, , , ,-0.325195,5.528320,-0.325195
25.000000,3200.000000,24607511.000000,-0.046400,-0.060900,-0.968600, , , 
26.000000,3201.000000,24607511.000000, , , ,-1.951172,1.625977,-0.650391
27.000000,3292.000000,24607511.000000, , , ,-3.251953,-2.601563,-0.650391
28.000000,3299.000000,24607511.000000,-0.084100,-0.031900,-0.988900, , , 
29.000000,3393.000000,24607511.000000, , , ,-2.276367,-3.577148,-1.625977
30.000000,3400.000000,24607511.000000,-0.174000,-0.029000,-0.939600, , , 
31.000000,3494.000000,24607511.000000, , , ,-1.625977,-1.625977,-0.975586
32.000000,3499.000000,24607511.000000,-0.162400,-0.026100,-0.919300, , , 
33.000000,3595.000000,24607511.000000, , , ,-1.300781,-2.601563,-1.300781
34.000000,3600.000000,24607511.000000,-0.147900,0.000000,-0.968600, , , 
35.000000,3696.000000,24607511.000000, , , ,-1.300781,-1.951172,-0.975586
36.000000,3699.000000,24607511.000000,-0.203000,-0.005800,-0.957000, , , 
37.000000,3797.000000,24607511.000000, , , ,-0.325195,-1.300781,-0.975586
38.000000,3800.000000,24607511.000000,-0.214600,-0.014500,-0.991800, , , 
39.000000,3898.000000,24607511.000000, , , ,-0.975586,-0.650391,-1.300781
40.000000,3899.000000,24607511.000000,-0.197200,-0.040600,-1.009200, , , 
41.000000,3999.000000,24607511.000000, , , ,-1.625977,-0.650391,-1.625977
42.000000,4000.000000,24607511.000000,-0.223300,-0.023200,-0.994700, , , 
43.000000,4099.000000,24607511.000000,-0.188500,-0.002900,-0.968600, , , 
44.000000,4100.000000,24607511.000000, , , ,-0.975586,0.000000,-0.975586
45.000000,4200.000000,24607511.000000,-0.217500,-0.014500,-0.991800, , , 
46.000000,4201.000000,24607511.000000, , , ,-1.625977,-1.300781,-0.975586
47.000000,4292.000000,24607511.000000, , , ,-1.300781,-1.300781,-0.975586
48.000000,4299.000000,24607511.000000,-0.229100,0.011600,-0.983100, , , 
49.000000,4393.000000,24607511.000000, , , ,-0.325195,-0.975586,-1.625977
50.000000,4400.000000,24607511.000000,-0.237800,0.002900,-0.962800, , , 
51.000000,4494.000000,24607511.000000, , , ,0.000000,-0.650391,-1.300781
52.000000,4499.000000,24607511.000000,-0.229100,0.000000,-0.994700, , , 
53.000000,4595.000000,24607511.000000, , , ,0.650391,-0.975586,-2.276367
54.000000,4600.000000,24607511.000000,-0.240700,-0.017400,-1.000500, , , 
55.000000,4696.000000,24607511.000000, , , ,-0.325195,-0.650391,-1.300781
56.000000,4699.000000,24607511.000000,-0.249400,-0.037700,-0.980200, , , 
57.000000,4797.000000,24607511.000000, , , ,0.000000,-0.650391,-1.951172
58.000000,4800.000000,24607511.000000,-0.246500,-0.023200,-0.994700, , , 
59.000000,4898.000000,24607511.000000, , , ,-1.300781,-0.650391,-1.625977
60.000000,4899.000000,24607511.000000,-0.249400,-0.026100,-1.006300, , , 
61.000000,4999.000000,24607511.000000, , , ,-0.975586,-0.650391,-1.625977
62.000000,5000.000000,24607511.000000,-0.255200,-0.005800,-0.980200, , , 
63.000000,5099.000000,24607511.000000,-0.234900,-0.002900,-1.009200, , , 
64.000000,5100.000000,24607511.000000, , , ,-1.625977,0.000000,-1.625977
65.000000,5200.000000,24607511.000000,-0.226200,-0.005800,-1.000500, , , 
66.000000,5201.000000,24607511.000000, , , ,-1.625977,0.000000,-1.300781
67.000000,5292.000000,24607511.000000, , , ,-1.951172,0.325195,-1.300781
68.000000,5299.000000,24607511.000000,-0.214600,0.002900,-0.986000, , , 
69.000000,5393.000000,24607511.000000, , , ,-1.625977,-0.325195,-0.325195
70.000000,5400.000000,24607511.000000,-0.208800,0.040600,-0.986000, , , 
71.000000,5494.000000,24607511.000000, , , ,-1.625977,-0.325195,-0.325195
72.000000,5499.000000,24607511.000000,-0.217500,0.043500,-1.009200, , , 
73.000000,5595.000000,24607511.000000, , , ,-1.300781,-0.650391,0.000000
74.000000,5600.000000,24607511.000000,-0.211700,0.040600,-0.974400, , , 
75.000000,5696.000000,24607511.000000, , , ,-0.650391,0.000000,0.325195
76.000000,5699.000000,24607511.000000,-0.223300,0.040600,-1.000500, , , 
77.000000,5797.000000,24607511.000000, , , ,-0.975586,0.000000,0.000000
78.000000,5800.000000,24607511.000000,-0.205900,0.023200,-0.991800, , , 
79.000000,5898.000000,24607511.000000, , , ,-1.300781,0.000000,0.000000
80.000000,5900.000000,24607511.000000,-0.205900,0.043500,-0.986000, , , 
81.000000,5998.000000,24607511.000000, , , ,-1.625977,0.000000,0.325195
82.000000,5999.000000,24607511.000000,-0.205900,0.031900,-0.994700, , , 
83.000000,6099.000000,24607511.000000, , , ,-1.300781,0.000000,0.325195
84.000000,6100.000000,24607511.000000,-0.191400,0.060900,-0.997600, , , 
85.000000,6199.000000,24607511.000000,-0.188500,0.089900,-0.983100, , , 
86.000000,6200.000000,24607511.000000, , , ,-1.625977,0.000000,0.975586
87.000000,6300.000000,24607511.000000,-0.176900,0.069600,-0.997600, , , 
88.000000,6301.000000,24607511.000000, , , ,-1.300781,0.000000,1.625977
89.000000,6392.000000,24607511.000000, , , ,-0.650391,0.000000,1.300781
90.000000,6399.000000,24607511.000000,-0.176900,0.089900,-0.991800, , , 
91.000000,6493.000000,24607511.000000, , , ,-0.650391,0.000000,1.625977
92.000000,6500.000000,24607511.000000,-0.156600,0.066700,-0.974400, , , 
93.000000,6594.000000,24607511.000000, , , ,-1.300781,-0.325195,1.625977
94.000000,6599.000000,24607511.000000,-0.159500,0.063800,-0.988900, , , 
95.000000,6695.000000,24607511.000000, , , ,-1.300781,0.000000,1.951172
96.000000,6700.000000,24607511.000000,-0.159500,0.098600,-0.994700, , , 
97.000000,6796.000000,24607511.000000, , , ,-0.975586,-0.325195,2.276367
98.000000,6799.000000,24607511.000000,-0.165300,0.087000,-1.000500, , , 
99.000000,6897.000000,24607511.000000, , , ,-0.975586,0.000000,1.625977
100.000000,6900.000000,24607511.000000,-0.153700,0.084100,-0.980200, , , 
101.000000,6998.000000,24607511.000000, , , ,-0.975586,0.000000,1.625977
102.000000,6999.000000,24607511.000000,-0.156600,0.081200,-0.988900, , , 
103.000000,7099.000000,24607511.000000, , , ,-0.650391,0.000000,1.951172
104.000000,7100.000000,24607511.000000,-0.142100,0.087000,-0.986000, , , 
105.000000,7199.000000,24607511.000000,-0.142100,0.084100,-1.000500, , , 
106.000000,7200.000000,24607511.000000, , , ,-1.300781,-0.325195,1.625977
107.000000,7300.000000,24607511.000000,-0.145000,0.136300,-0.983100, , , 
108.000000,7301.000000,24607511.000000, , , ,-0.325195,0.325195,2.601563
109.000000,7392.000000,24607511.000000, , , ,-0.325195,0.325195,2.601563
110.000000,7399.000000,24607511.000000,-0.127600,0.098600,-0.991800, , , 
111.000000,7493.000000,24607511.000000, , , ,0.000000,0.325195,2.926758
112.000000,7500.000000,24607511.000000,-0.133400,0.110200,-0.997600, , , 
113.000000,7594.000000,24607511.000000, , , ,-0.325195,0.325195,2.926758
114.000000,7601.000000,24607511.000000,-0.116000,0.127600,-1.000500, , , 
115.000000,7694.000000,24607511.000000, , , ,-0.325195,0.000000,3.577148
116.000000,7699.000000,24607511.000000,-0.104400,0.133400,-1.003400, , , 
117.000000,7795.000000,24607511.000000, , , ,-0.650391,0.325195,3.577148
118.000000,7800.000000,24607511.000000,-0.121800,0.113100,-0.988900, , , 
119.000000,7896.000000,24607511.000000, , , ,-0.325195,0.650391,3.902344
120.000000,7899.000000,24607511.000000,-0.095700,0.139200,-0.980200, , , 
121.000000,7997.000000,24607511.000000, , , ,-1.300781,0.000000,4.552734
122.000000,8000.000000,24607511.000000,-0.101500,0.124700,-1.000500, , , 
123.000000,8098.000000,24607511.000000, , , ,-0.650391,0.000000,4.552734
124.000000,8099.000000,24607511.000000,-0.089900,0.136300,-0.988900, , , 
125.000000,8199.000000,24607511.000000, , , ,-1.300781,0.325195,5.203125
126.000000,8200.000000,24607511.000000,-0.084100,0.153700,-0.986000, , , 
127.000000,8299.000000,24607511.000000,-0.084100,0.205900,-0.968600, , , 
128.000000,8300.000000,24607511.000000, , , ,-0.325195,-0.975586,6.503906
129.000000,8400.000000,24607511.000000,-0.101500,0.139200,-1.015000, , , 
130.000000,8401.000000,24607511.000000, , , ,-0.975586,-0.325195,5.853516
131.000000,8492.000000,24607511.000000, , , ,-0.650391,0.325195,6.829102
132.000000,8499.000000,24607511.000000,-0.078300,0.176900,-0.983100, , , 
133.000000,8593.000000,24607511.000000, , , ,-1.625977,0.000000,7.154297
134.000000,8600.000000,24607511.000000,-0.084100,0.159500,-0.991800, , , 
135.000000,8694.000000,24607511.000000, , , ,-0.650391,0.650391,7.479492
136.000000,8699.000000,24607511.000000,-0.078300,0.223300,-0.971500, , , 
137.000000,8795.000000,24607511.000000, , , ,0.325195,0.000000,7.804688
138.000000,8800.000000,24607511.000000,-0.075400,0.226200,-0.994700, , , 
139.000000,8896.000000,24607511.000000, , , ,0.650391,0.000000,9.105469
140.000000,8899.000000,24607511.000000,-0.049300,0.223300,-0.980200, , , 
141.000000,8997.000000,24607511.000000, , , ,0.975586,-0.975586,9.430664
142.000000,9000.000000,24607511.000000,-0.049300,0.214600,-0.968600, , , 
143.000000,9098.000000,24607511.000000, , , ,1.625977,-1.300781,10.406250
144.000000,9099.000000,24607511.000000,-0.063800,0.240700,-0.962800, , , 
145.000000,9199.000000,24607511.000000, , , ,4.552734,-1.625977,11.056641
146.000000,9200.000000,24607511.000000,-0.037700,0.304500,-0.939600, , , 
147.000000,9299.000000,24607511.000000,-0.049300,0.272600,-0.957000, , , 
148.000000,9300.000000,24607511.000000, , , ,6.829102,-2.601563,11.381836
149.000000,9400.000000,24607511.000000,-0.084100,0.136300,-1.020800, , , 
150.000000,9401.000000,24607511.000000, , , ,5.203125,-0.325195,12.682617
151.000000,9492.000000,24607511.000000, , , ,1.300781,0.000000,12.682617
152.000000,9499.000000,24607511.000000,-0.075400,0.174000,-0.959900, , , 
153.000000,9593.000000,24607511.000000, , , ,0.000000,1.300781,13.658203
154.000000,9600.000000,24607511.000000,-0.055100,0.171100,-0.991800, , , 
155.000000,9694.000000,24607511.000000, , , ,-0.650391,0.975586,14.308594
156.000000,9699.000000,24607511.000000,-0.026100,0.229100,-1.029500, , , 
157.000000,9795.000000,24607511.000000, , , ,0.650391,-0.650391,14.633790
158.000000,9800.000000,24607511.000000,-0.040600,0.249400,-1.015000, , , 
159.000000,9896.000000,24607511.000000, , , ,0.000000,0.325195,14.958983
160.000000,9899.000000,24607511.000000,-0.092800,0.217500,-0.991800, , , 
161.000000,9997.000000,24607511.000000, , , ,-0.975586,1.625977,15.609375
162.000000,10000.000000,24607511.000000,-0.060900,0.232000,-1.000500, , , 
163.000000,10098.000000,24607511.000000, , , ,-1.300781,1.625977,16.259766
164.000000,10099.000000,24607511.000000,-0.060900,0.255200,-0.988900, , , 
165.000000,10199.000000,24607511.000000, , , ,0.000000,1.300781,16.910156
166.000000,10200.000000,24607511.000000,-0.037700,0.298700,-1.006300, , , 
167.000000,10299.000000,24607511.000000,-0.023200,0.249400,-0.997600, , , 
168.000000,10300.000000,24607511.000000, , , ,0.000000,0.650391,14.958983
169.000000,10400.000000,24607511.000000,-0.011600,0.261000,-0.968600, , , 
170.000000,10401.000000,24607511.000000, , , ,0.325195,0.650391,16.584961
171.000000,10492.000000,24607511.000000, , , ,0.325195,0.000000,16.584961
172.000000,10499.000000,24607511.000000,-0.017400,0.220400,-0.994700, , , 
173.000000,10593.000000,24607511.000000, , , ,-1.951172,-0.650391,17.560547
174.000000,10600.000000,24607511.000000,0.000000,0.220400,-0.965700, , , 
175.000000,10694.000000,24607511.000000, , , ,-1.625977,-2.601563,16.910156
176.000000,10699.000000,24607511.000000,0.014500,0.243600,-0.957000, , , 
177.000000,10795.000000,24607511.000000, , , ,-2.926758,-2.926758,16.910156
178.000000,10800.000000,24607511.000000,-0.029000,0.258100,-0.965700, , , 
179.000000,10896.000000,24607511.000000, , , ,0.975586,-0.975586,16.910156
180.000000,10899.000000,24607511.000000,-0.037700,0.359600,-1.012100, , , 
181.000000,10997.000000,24607511.000000, , , ,0.975586,-0.325195,17.560547
182.000000,11000.000000,24607511.000000,-0.011600,0.261000,-0.983100, , , 
183.000000,11098.000000,24607511.000000, , , ,-1.300781,-0.975586,17.560547
184.000000,11099.000000,24607511.000000,-0.011600,0.191400,-0.959900, , , 
185.000000,11199.000000,24607511.000000, , , ,-2.926758,0.000000,17.885742
186.000000,11200.000000,24607511.000000,-0.005800,0.249400,-0.904800, , , 
187.000000,11299.000000,24607511.000000,0.031900,0.324800,-0.980200, , , 
188.000000,11300.000000,24607511.000000, , , ,-1.951172,-2.601563,17.235352
189.000000,11400.000000,24607511.000000,0.008700,0.301600,-0.968600, , , 
190.000000,11401.000000,24607511.000000, , , ,-0.650391,-3.902344,16.910156
191.000000,11492.000000,24607511.000000, , , ,0.000000,-1.951172,18.210938
192.000000,11499.000000,24607511.000000,-0.005800,0.281300,-0.965700, , , 
193.000000,11593.000000,24607511.000000, , , ,-0.650391,-1.951172,16.910156
194.000000,11600.000000,24607511.000000,0.031900,0.240700,-0.951200, , , 
195.000000,11694.000000,24607511.000000, , , ,0.000000,-1.625977,15.609375
196.000000,11699.000000,24607511.000000,0.055100,0.226200,-0.954100, , , 
197.000000,11795.000000,24607511.000000, , , ,-0.325195,-1.625977,12.032227
198.000000,11800.000000,24607511.000000,0.063800,0.229100,-0.965700, , , 
199.000000,11896.000000,24607511.000000, , , ,-0.325195,-1.300781,13.658203
200.000000,11899.000000,24607511.000000,0.084100,0.214600,-0.977300, , , 
201.000000,11997.000000,24607511.000000, , , ,0.325195,-1.300781,12.357422
202.000000,12000.000000,24607511.000000,0.087000,0.205900,-0.994700, , , 
203.000000,12098.000000,24607511.000000, , , ,0.650391,-0.650391,10.731445
204.000000,12099.000000,24607511.000000,0.087000,0.176900,-0.965700, , , 
205.000000,12199.000000,24607511.000000, , , ,0.650391,-0.325195,8.780273
206.000000,12200.000000,24607511.000000,0.095700,0.127600,-0.968600, , , 
207.000000,12299.000000,24607511.000000,0.101500,0.113100,-0.980200, , , 
208.000000,12300.000000,24607511.000000, , , ,0.000000,0.000000,7.154297
209.000000,12400.000000,24607511.000000,0.095700,0.127600,-0.991800, , , 
210.000000,12401.000000,24607511.000000, , , ,0.325195,-0.650391,5.853516
211.000000,12492.000000,24607511.000000, , , ,0.650391,-0.325195,4.552734
212.000000,12499.000000,24607511.000000,0.101500,0.107300,-0.986000, , , 
213.000000,12593.000000,24607511.000000, , , ,0.650391,-0.325195,3.251953
214.000000,12600.000000,24607511.000000,0.101500,0.066700,-0.974400, , , 
215.000000,12694.000000,24607511.000000, , , ,0.325195,0.000000,2.276367
216.000000,12699.000000,24607511.000000,0.098600,0.063800,-0.983100, , , 
217.000000,12795.000000,24607511.000000, , , ,0.325195,-0.650391,0.975586
218.000000,12800.000000,24607511.000000,0.107300,0.069600,-0.986000, , , 
219.000000,12896.000000,24607511.000000, , , ,0.975586,-0.325195,0.325195
220.000000,12899.000000,24607511.000000,0.095700,0.066700,-0.988900, , , 
221.000000,12997.000000,24607511.000000, , , ,0.000000,0.000000,0.650391
222.000000,13000.000000,24607511.000000,0.107300,0.058000,-0.980200, , , 
223.000000,13098.000000,24607511.000000, , , ,0.000000,-0.325195,0.325195
224.000000,13099.000000,24607511.000000,0.092800,0.066700,-0.991800, , , 
225.000000,13199.000000,24607511.000000, , , ,1.625977,-0.650391,0.325195
226.000000,13200.000000,24607511.000000,0.116000,0.078300,-0.957000, , , 
227.000000,13299.000000,24607511.000000,0.110200,0.026100,-0.965700, , , 
228.000000,13300.000000,24607511.000000, , , ,0.325195,-2.276367,-0.325195
229.000000,13400.000000,24607511.000000,0.104400,0.046400,-0.957000, , , 
230.000000,13401.000000,24607511.000000, , , ,0.975586,-2.276367,-0.975586
231.000000,13492.000000,24607511.000000, , , ,0.000000,-2.926758,-0.975586
232.000000,13499.000000,24607511.000000,0.110200,0.008700,-0.951200, , , 
233.000000,13593.000000,24607511.000000, , , ,-0.650391,-2.926758,-0.975586
234.000000,13600.000000,24607511.000000,0.081200,0.020300,-0.948300, , , 
235.000000,13694.000000,24607511.000000, , , ,0.000000,-1.951172,-0.975586
236.000000,13699.000000,24607511.000000,0.095700,0.043500,-0.974400, , , 
237.000000,13795.000000,24607511.000000, , , ,0.650391,-1.625977,-1.300781
238.000000,13800.000000,24607511.000000,0.081200,0.040600,-0.962800, , , 
239.000000,13896.000000,24607511.000000, , , ,0.000000,-0.975586,-1.300781
240.000000,13899.000000,24607511.000000,0.087000,0.031900,-0.962800, , , 
241.000000,13997.000000,24607511.000000, , , ,0.325195,-1.300781,-1.625977
242.000000,14000.000000,24607511.000000,0.098600,0.000000,-0.971500, , , 
243.000000,14098.000000,24607511.000000, , , ,0.000000,-1.300781,-2.601563
