System.Time_Stamp,vtti.timestamp,vtti.file_id,vtti.accel_x,vtti.accel_y,vtti.accel_z,vtti.gyro_x,vtti.gyro_y,vtti.gyro_z
1.000000,1900.000000,93463652.000000,0.046400,-0.029000,-0.997600, , , 
2.000000,1994.000000,93463652.000000, , , ,-0.650391,0.325195,-0.325195
3.000000,1999.000000,93463652.000000,0.040600,-0.031900,-0.974400, , , 
4.000000,2095.000000,93463652.000000, , , ,0.000000,0.000000,-0.325195
5.000000,2100.000000,93463652.000000,0.081200,-0.034800,-0.962800, , , 
6.000000,2196.000000,93463652.000000, , , ,0.000000,-0.975586,-0.325195
7.000000,2199.000000,93463652.000000,0.092800,-0.023200,-0.965700, , , 
8.000000,2297.000000,93463652.000000, , , ,-0.650391,-1.625977,0.000000
9.000000,2300.000000,93463652.000000,0.066700,-0.055100,-0.988900, , , 
10.000000,2398.000000,93463652.000000, , , ,-0.650391,-0.325195,-0.325195
11.000000,2399.000000,93463652.000000,0.049300,-0.031900,-1.020800, , , 
12.000000,2499.000000,93463652.000000, , , ,-0.325195,1.300781,0.000000
13.000000,2500.000000,93463652.000000,0.049300,0.002900,-1.006300, , , 
14.000000,2599.000000,93463652.000000,0.072500,0.008700,-0.994700, , , 
15.000000,2600.000000,93463652.000000, , , ,0.000000,1.951172,0.325195
16.000000,2700.000000,93463652.000000,0.116000,-0.002900,-0.951200, , , 
17.000000,2701.000000,93463652.000000, , , ,-0.975586,0.650391,1.300781
18.000000,2792.000000,93463652.000000, , , ,-0.325195,-1.625977,1.951172
19.000000,2799.000000,93463652.000000,0.116000,0.046400,-0.948300, , , 
20.000000,2893.000000,93463652.000000, , , ,0.650391,-2.601563,2.276367
21.000000,2900.000000,93463652.000000,0.069600,0.029000,-0.983100, , , 
22.000000,2994.000000,93463652.000000, , , ,-0.650391,-2.276367,2.601563
23.000000,2999.000000,93463652.000000,0.037700,-0.014500,-1.017900, , , 
24.000000,3095.000000,93463652.000000, , , ,-0.650391,0.975586,3.251953
25.000000,3100.000000,93463652.000000,0.046400,0.058000,-0.977300, , , 
26.000000,3196.000000,93463652.000000, , , ,0.325195,0.650391,3.251953
27.000000,3199.000000,93463652.000000,0.084100,0.046400,-0.951200, , , 
28.000000,3297.000000,93463652.000000, , , ,-0.325195,0.000000,3.577148
29.000000,3300.000000,93463652.000000,0.095700,0.008700,-0.977300, , , 
30.000000,3398.000000,93463652.000000, , , ,-0.975586,-1.625977,3.902344
31.000000,3399.000000,93463652.000000,0.081200,0.023200,-0.980200, , , 
32.000000,3499.000000,93463652.000000, , , ,-0.325195,-1.300781,3.577148
33.000000,3500.000000,93463652.000000,0.052200,0.043500,-0.974400, , , 
34.000000,3599.000000,93463652.000000,0.043500,0.031900,-0.977300, , , 
35.000000,3600.000000,93463652.000000, , , ,0.000000,-0.650391,3.577148
36.000000,3700.000000,93463652.000000,0.055100,0.011600,-0.994700, , , 
37.000000,3701.000000,93463652.000000, , , ,-1.300781,-0.325195,3.902344
38.000000,3792.000000,93463652.000000, , , ,-0.650391,0.000000,3.577148
39.000000,3799.000000,93463652.000000,0.055100,0.055100,-0.980200, , , 
40.000000,3893.000000,93463652.000000, , , ,0.000000,-0.325195,3.902344
41.000000,3900.000000,93463652.000000,0.029000,0.058000,-0.962800, , , 
42.000000,3994.000000,93463652.000000, , , ,0.000000,-0.650391,3.902344
43.000000,3999.000000,93463652.000000,0.017400,0.037700,-0.988900, , , 
44.000000,4095.000000,93463652.000000, , , ,-0.325195,-0.325195,3.902344
45.000000,4100.000000,93463652.000000,0.000000,0.034800,-0.994700, , , 
46.000000,4196.000000,93463652.000000, , , ,-0.325195,0.650391,4.552734
47.000000,4199.000000,93463652.000000,-0.008700,0.052200,-0.991800, , , 
48.000000,4297.000000,93463652.000000, , , ,0.325195,0.325195,3.902344
49.000000,4300.000000,93463652.000000,0.005800,0.058000,-0.977300, , , 
50.000000,4398.000000,93463652.000000, , , ,0.000000,0.000000,3.902344
51.000000,4399.000000,93463652.000000,-0.005800,0.011600,-0.988900, , , 
52.000000,4499.000000,93463652.000000, , , ,-0.325195,0.000000,4.227539
53.000000,4500.000000,93463652.000000,-0.002900,0.037700,-0.983100, , , 
54.000000,4599.000000,93463652.000000,-0.023200,0.058000,-1.006300, , , 
55.000000,4600.000000,93463652.000000, , , ,0.650391,-0.325195,3.902344
56.000000,4700.000000,93463652.000000,-0.011600,0.011600,-0.991800, , , 
57.000000,4701.000000,93463652.000000, , , ,0.325195,0.325195,3.577148
58.000000,4792.000000,93463652.000000, , , ,-0.650391,0.325195,3.577148
59.000000,4799.000000,93463652.000000,0.008700,0.014500,-0.954100, , , 
60.000000,4893.000000,93463652.000000, , , ,-0.650391,-0.325195,4.227539
61.000000,4900.000000,93463652.000000,0.000000,0.081200,-0.991800, , , 
62.000000,4994.000000,93463652.000000, , , ,-0.325195,-0.975586,5.528320
63.000000,4999.000000,93463652.000000,-0.014500,0.081200,-1.003400, , , 
64.000000,5095.000000,93463652.000000, , , ,0.000000,0.325195,5.528320
65.000000,5100.000000,93463652.000000,-0.026100,0.049300,-0.988900, , , 
66.000000,5196.000000,93463652.000000, , , ,0.000000,0.650391,5.203125
67.000000,5199.000000,93463652.000000,0.000000,0.040600,-0.977300, , , 
68.000000,5297.000000,93463652.000000, , , ,0.000000,0.000000,4.877930
69.000000,5300.000000,93463652.000000,-0.002900,0.046400,-0.997600, , , 
70.000000,5398.000000,93463652.000000, , , ,0.000000,0.000000,4.552734
71.000000,5399.000000,93463652.000000,-0.011600,0.037700,-0.991800, , , 
72.000000,5499.000000,93463652.000000, , , ,0.000000,0.325195,4.552734
73.000000,5500.000000,93463652.000000,-0.014500,0.040600,-0.980200, , , 
74.000000,5599.000000,93463652.000000,-0.005800,0.055100,-1.000500, , , 
75.000000,5600.000000,93463652.000000, , , ,0.000000,0.000000,4.877930
76.000000,5700.000000,93463652.000000,0.005800,0.029000,-0.991800, , , 
77.000000,5701.000000,93463652.000000, , , ,-0.650391,0.325195,4.552734
78.000000,5792.000000,93463652.000000, , , ,-0.325195,0.325195,4.552734
79.000000,5799.000000,93463652.000000,-0.008700,0.037700,-0.980200, , , 
80.000000,5893.000000,93463652.000000, , , ,0.325195,0.000000,4.877930
81.000000,5900.000000,93463652.000000,-0.008700,0.049300,-0.986000, , , 
82.000000,5994.000000,93463652.000000, , , ,0.000000,-0.325195,4.552734
83.000000,5999.000000,93463652.000000,-0.017400,0.034800,-0.997600, , , 
84.000000,6095.000000,93463652.000000, , , ,0.000000,0.000000,4.552734
85.000000,6100.000000,93463652.000000,-0.026100,0.029000,-0.980200, , , 
86.000000,6196.000000,93463652.000000, , , ,-0.325195,-0.650391,4.552734
87.000000,6199.000000,93463652.000000,-0.029000,0.031900,-0.980200, , , 
88.000000,6297.000000,93463652.000000, , , ,0.000000,0.000000,4.227539
89.000000,6300.000000,93463652.000000,-0.040600,0.046400,-1.003400, , , 
90.000000,6398.000000,93463652.000000, , , ,0.325195,0.975586,4.552734
91.000000,6399.000000,93463652.000000,-0.037700,0.023200,-0.980200, , , 
92.000000,6499.000000,93463652.000000, , , ,-0.650391,0.000000,4.227539
93.000000,6500.000000,93463652.000000,-0.052200,0.005800,-0.977300, , , 
94.000000,6599.000000,93463652.000000,-0.043500,0.049300,-1.015000, , , 
95.000000,6600.000000,93463652.000000, , , ,-0.325195,-0.325195,3.902344
96.000000,6700.000000,93463652.000000,-0.081200,0.020300,-1.003400, , , 
97.000000,6701.000000,93463652.000000, , , ,-0.325195,0.000000,3.577148
98.000000,6792.000000,93463652.000000, , , ,-0.650391,0.975586,3.902344
99.000000,6799.000000,93463652.000000,-0.081200,0.029000,-0.997600, , , 
100.000000,6893.000000,93463652.000000, , , ,0.325195,0.650391,3.902344
101.000000,6900.000000,93463652.000000,-0.063800,0.040600,-0.974400, , , 
102.000000,6994.000000,93463652.000000, , , ,0.000000,0.000000,3.902344
103.000000,6999.000000,93463652.000000,-0.072500,0.005800,-0.977300, , , 
104.000000,7095.000000,93463652.000000, , , ,-0.650391,-0.325195,3.902344
105.000000,7100.000000,93463652.000000,-0.081200,0.017400,-0.994700, , , 
106.000000,7196.000000,93463652.000000, , , ,0.325195,-0.325195,3.577148
107.000000,7199.000000,93463652.000000,-0.092800,0.020300,-0.997600, , , 
108.000000,7297.000000,93463652.000000, , , ,0.000000,0.325195,3.251953
109.000000,7300.000000,93463652.000000,-0.089900,0.000000,-0.986000, , , 
110.000000,7398.000000,93463652.000000, , , ,-0.325195,0.325195,3.251953
111.000000,7399.000000,93463652.000000,-0.081200,-0.020300,-0.974400, , , 
112.000000,7499.000000,93463652.000000, , , ,0.000000,0.000000,2.601563
113.000000,7500.000000,93463652.000000,-0.075400,0.000000,-1.009200, , , 
114.000000,7599.000000,93463652.000000,-0.069600,-0.002900,-1.003400, , , 
115.000000,7600.000000,93463652.000000, , , ,0.000000,0.975586,2.276367
116.000000,7700.000000,93463652.000000,-0.060900,-0.029000,-0.968600, , , 
117.000000,7701.000000,93463652.000000, , , ,-0.650391,0.325195,2.276367
118.000000,7792.000000,93463652.000000, , , ,-1.300781,0.000000,2.276367
119.000000,7799.000000,93463652.000000,-0.058000,-0.020300,-0.977300, , , 
120.000000,7893.000000,93463652.000000, , , ,0.000000,-0.325195,1.951172
121.000000,7900.000000,93463652.000000,-0.072500,0.005800,-1.003400, , , 
122.000000,7994.000000,93463652.000000, , , ,0.000000,-0.975586,1.625977
123.000000,7999.000000,93463652.000000,-0.116000,0.011600,-0.997600, , , 
124.000000,8095.000000,93463652.000000, , , ,-0.650391,0.000000,1.625977
125.000000,8100.000000,93463652.000000,-0.153700,-0.023200,-0.988900, , , 
126.000000,8196.000000,93463652.000000, , , ,-0.650391,0.325195,1.951172
127.000000,8199.000000,93463652.000000,-0.147900,0.008700,-0.986000, , , 
128.000000,8297.000000,93463652.000000, , , ,-0.325195,0.000000,1.951172
129.000000,8300.000000,93463652.000000,-0.153700,0.000000,-0.994700, , , 
130.000000,8398.000000,93463652.000000, , , ,-0.650391,0.325195,1.625977
131.000000,8399.000000,93463652.000000,-0.165300,-0.023200,-0.994700, , , 
132.000000,8499.000000,93463652.000000, , , ,-0.975586,0.000000,1.625977
133.000000,8500.000000,93463652.000000,-0.165300,-0.008700,-0.997600, , , 
134.000000,8599.000000,93463652.000000,-0.159500,0.000000,-0.986000, , , 
135.000000,8600.000000,93463652.000000, , , ,-0.650391,0.000000,1.625977
136.000000,8700.000000,93463652.000000,-0.153700,-0.002900,-0.971500, , , 
137.000000,8701.000000,93463652.000000, , , ,-0.325195,0.000000,1.300781
138.000000,8792.000000,93463652.000000, , , ,-0.975586,0.000000,1.951172
